Lp.	ZRM - numer	Adres	Dyspozytornia	Typ
1	K01 47	Topolowa 16 Chrzanów 32-500	DM06-01	S
2	K01 098	Topolowa 16 Chrzanów 32-500	DM06-01	P
3	K01 100	Tadeusza Koœciuszki 50 Trzebinia 32-540	DM06-01	P
4	K01 102	Lipowiecka 3 Wygie³zów 32-551	DM06-01	P
5	K01 104	Górnicza 5 Libi¹¿ 32-590	DM06-01	P
6	K01 154	ul. Szkolna 6 Nowa Wieœ Szlachecka 32-060	DM06-01	P
7	K01 152	ul. Wod¹ca 2 Bukowno 32-332	DM06-01	P
8	K01 032	Legionów Polskich 6 Krzeszowice 32-065	DM06-01	P
9	K01 138	Legionów Polskich 6 Krzeszowice 32-065	DM06-01	P
10	K01 142	Wysokie Brzegi  4 Oœwiêcim 32-600	DM06-01	P
11	K01 112	Wysokie Brzegi  4 Oœwiêcim 32-600	DM06-01	P
12	K01 116	Palim¹ki 2 Zator 32-640	DM06-01	P
13	K01 43	Osiecka 3a Olkusz 32-300	DM06-01	S
14	K01 022	Kryspinów 356 Kryspinów 32-060	DM06-01	P
15	K01 07	Kolejowa 28 Zabierzów 32-080	DM06-01	S
16	S02 242	ul. Che³moñskiego 28 43-600 Jaworzno	DM12-02	P
17	S02 214	ul. Che³moñskiego 28 43-600 Jaworzno	DM12-02	P
18	S02 212	ul. Che³moñskiego 28 43-600 Jaworzno	DM12-02	P
19	S02 350	ul. Miko³owska 50 41-400 Mys³owice	DM12-02	P
20	S02 352	ul. Miko³owska 50 41-400 Mys³owice	DM12-02	P
21	S02 308	ul. Pokoju 17 43-143 Lêdziny	DM12-02	P
22	S02 313	ul. Bartosza G³owackiego 10 40-052 Katowice	DM12-02	S
23	S02 348	ul. Bartosza G³owackiego 10 40-052 Katowice	DM12-02	P
